,tweet,closed,closure,fire
35,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) remains at 10 acres and 95% contained. https://twitter.com/CALFIRECZU pic.twitter.com/Ic1FuNhrWX",0,0,0
36,#WoolseyFire Morning Incident Update 11/19/18pic.twitter.com/f5BTsw0ydB,0,0,0
37,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 151,000 acres and 66% contained. Unified Command: CAL FIRE, Butte Sheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/n9YPgnpyZB",0,0,2
38,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 94% contained. Unified Command: CAL FIRE, Ventura County Fire, Ventura County Sheriff, LA County Fire, LA City Fire, LA Sheriff, and LAPD http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/ApX2zgrCiQ",0,0,5
39,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 150,000 acres and 65% contained. Unified Command: CAL FIRE, Butte Sheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/C74TPoNNQk",0,0,2
40,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 10 acres and 95% contained. https://twitter.com/CALFIRECZU pic.twitter.com/6GP96q1JgZ",0,0,0
41,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 91% contained. Unified Command: CAL FIRE, Ventura County Fire, Ventura County Sheriff, LA County Fire, LA City Fire, LA Sheriff, and LAPDpic.twitter.com/lkeTu19zwa",0,0,4
42,#WoolseyFire Repopulation of Seminole Springspic.twitter.com/tN8TbvaKdl,0,0,0
43,#WoolseyFire Repopulation of Malibu Lakespic.twitter.com/UdcmmBSEgn,0,0,0
44,#CampFire - Hamlin Canyon and Lower Neal Zones reduced to Evacuation Warning 11.18.18 #buttecounty @ButteSheriff @CountyofButte @paradise_ca @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chicopic.twitter.com/oDxEzykwaC,0,0,0
45,#WoolseyFire Updated information for Point Dume based on Damage Assessment in the areapic.twitter.com/kaN3g5MNjj,0,0,0
46,#WoolseyFire Repopulation of Point Dumepic.twitter.com/8AgtlOhxvo,0,0,0
47,#WoolseyFire Broad Beach Repopulation notice 11-18pic.twitter.com/dSUJTMyOh1,0,0,0
48,Portions of Stilson Canyon Evacuation Order Lifted 11-18 Portion of Stilson Canyon Rd. from Humboldt Road to Lazy S Ln. evacuation order has been lifted. #campfire #buttecounty @ButteSheriff @CountyofButte @paradise_ca @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chicopic.twitter.com/mqsv1bHErJ,0,0,0
49,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 10 acres and 90% contained. https://twitter.com/CALFIRECZU pic.twitter.com/bNg83QDWlc",0,0,0
50,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 149,500 acres and 60% contained. Unified Command: CAL FIRE, Butte Sheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/kmQ6qawJ8b",0,0,2
51,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 88% contained. Unified Command: CAL FIRE, Ventura County Fire, Ventura County Sheriff, LA County Fire, LA City Fire, LA Sheriff, and LAPD http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/ATXj7ELCsH",0,0,5
52,#WoolseyFire Seminole Springs Repopulation 48-hour noticepic.twitter.com/qJnKYcLaQW,0,0,0
53,#WoolseyFire 11∙17∙18 Woolsey Fire Broad Beach Repopulation 48-hour noticepic.twitter.com/PjT6QTeJV4,0,0,1
54,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 10 acres and 80% contained. https://twitter.com/@CALFIRECZU pic.twitter.com/gPGMEAGhLx",0,0,0
55,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 149,000 acres and 55% contained. Unified Command: CAL FIRE, @Butte @ButteSheriff , Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/aAsSWXZPJY",0,0,2
56,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 84% contained. Unified Command: CAL FIRE, @VCFD , @VENTURASHERIFF , @LACOFD , @LAFD , LA Sheriff, and LAPD http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/AdUTFGav5c",0,0,2
57,#WoolseyFire 11∙17∙18 Repopulation of areas of Ventura County.pic.twitter.com/DDKYGlr8iB,0,0,0
58,#WoolseyFire Fire Safety Messagepic.twitter.com/nLkVuFWXjC,0,0,1
59,#WoolseyFire 11∙17∙18 - Repopulation for areas in Los Angeles Countypic.twitter.com/KX7sP5ZyOL,0,0,0
60,#CampFire Evacuation Order Reduced to Warning 11.17.18https://twitter.com/CALFIRE_ButteCo/status/1063937347597680640 …,0,0,0
61,"For anyone looking for a pet that was displaced during the #CampFire, like this little rescued pup, please see the information below for assistance in finding them. https://www.nvadg.org/ pic.twitter.com/FDfBvk0G6e",0,0,0
62,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 10 acres and 60% contained. https://twitter.com/CALFIRECZU pic.twitter.com/jDi2Y1E2I5",0,0,0
63,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 148,000 acres and 55% contained. Unified Command: CAL FIRE, @ButteSheriff , Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/plf1bnFg7J",0,0,2
64,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 82% contained. Unified Command: CAL FIRE, @VCFD , @VENTURASHERIFF , @LACOFD , @LAFD , @lacountysheriff , and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/PHlErWAytj",0,0,2
65,#CampFire [update] Neal road waste facility opens to public with limited hours.pic.twitter.com/ka8CMU90Ix,0,0,0
66,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 146,000 acres and 50% contained. Unified Command: CAL FIRE, @ButteSheriff , Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/ng5KruGQIX",0,0,2
67,"#BriggsFire [final] off Shell Road and Orr Road, Santa Paula (Ventura County) per Ventura County Fire Department is now 100% contained at 150 acres. https://twitter.com/@VCFD_PIO pic.twitter.com/vuuXVAaqTC",0,0,1
68,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 78% contained. Unified Command: CAL FIRE, @VCFD , @VENTURASHERIFF , @LACOFD , @LAFD , @LASDHQ , and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/KXcfztQlt1",0,0,2
69,#WoolseyFire - Repopulation area of Deer Creek and Yerba Buena Road (Ventura County) for Residents Only.pic.twitter.com/GZmEIHKTbG,0,0,0
70,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 8-10 acres and 50% contained. Evacuations lifted. https://twitter.com/@CALFIRECZU pic.twitter.com/NfqTZofFN4",0,0,0
71,"#BearFire [update] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 25 acres.pic.twitter.com/xjfWvOPYeu",0,0,0
72,#CampFire 11∙16∙18 - Some evacuation orders reduced to evacuation warnings.pic.twitter.com/LrY2W62S1e,0,0,0
73,#WoolseyFire [update] Areas inside of the unincorporated Agoura will be opened to RESIDENTS ONLY beginning at 2:00 p.m. today. Access to the area via Kanan Road remains closed.pic.twitter.com/CL5pXpP2UQ,1,0,0
74,"Fire fighters are battling a 15 acre fire off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County). #BearFire https://twitter.com/CALFIRECZU pic.twitter.com/xVtTkmfpBU",0,0,2
75,"#MorganFire [final] off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County) is now 100% contained at 20 acres.pic.twitter.com/mamBM38B8U",0,0,0
76,#CampFire [update] Press conference at 6 PM at Silver Dollar Fairgroundspic.twitter.com/c8FXTTbrAS,0,0,0
77,#WoolseyFire 11∙16∙18 ***UPDATE*** - Repopulation within Los Angeles County.pic.twitter.com/7dnoYOolfK,0,0,0
78,"#WoolseyFire [update] Santa Monica Mountains National Recreation Area is opening of the Rancho Sierra Vista area of the park only, on Friday 11/16/18 at 10:00am. Any trails into and on Point Mugu State Park remain closed.pic.twitter.com/8j1EwHBEtM",1,0,0
79,#WoolseyFire [update] Repopulation for residents along Carlisle Canyon Road.pic.twitter.com/aiBoeNLbYm,0,0,0
80,"With these current extreme fire conditions throughout the state, don’t wait to #evacuate You should already be PREPARED and GO! early. If you see fire approaching, don’t wait to be told to leave. http://www.ReadyForWildfire.org #ReadyForWildfirepic.twitter.com/DCNDwiKrOa",0,0,2
81,"#BriggsFire [update] off Shell Road and Orr Road, Santa Paula (Ventura County) per @VCFD remains 150 acres & 90% contained. https://twitter.com/VCFD_PIO pic.twitter.com/HrwOGVixJt",0,0,0
82,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 142,000 acres and 45% contained. Unified Command: CAL FIRE, @ButteSheriff , @ParadisePD , and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/BS0xcvjSmF",0,0,2
83,"#MorganFire [update] off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County) is now 20 acres & 75% contained. Forward spread stopped.pic.twitter.com/iAkmc8otEA",0,0,0
84,"#HillFire [final] at Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley (Ventura County) is now 100% contained at 4,531 acres. Unified Command: CAL FIRE, @VCFD , and @VENTURASHERIFF http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2281 …pic.twitter.com/H3yRI3d3iv",0,0,2
85,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 69% contained. Unified Command: CAL FIRE, @VCFD , @VENTURASHERIFF , @LACOFD , @LAFD , @Los Angeles @LASDHQ , and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/oRCF4RAJ99",0,0,2
86,#WoolseyFire [update] Residents Only Repopulation of PCH (HWY 1) Between Las Posas Road to Ventura/LA County Line.pic.twitter.com/6eB1JZFOuk,0,0,0
87,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 141,000 acres and 40% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/vEuVeXEwnl",0,0,2
88,"#HillFire [update] at Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley (Ventura County) is now 4,531 acres and 99% contained. Unified Command: CAL FIRE, @VCFD, and @VENTURASHERIFF http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2281 …pic.twitter.com/kOHZg36xYz",0,0,2
89,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 62% contained. Unified Command: CAL FIRE, @VCFD, @VENTURASHERIFF, @LACOFD, @LAFD, @LASDNews, and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/9wqcz4UvvO",0,0,2
90,"#MorganFire [update] off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County) is now 20 acres & 60% contained. Forward spread stopped.pic.twitter.com/KvtV2sjl5n",0,0,0
91,#WoolseyFire [update] Repopulation within Los Angeles County.pic.twitter.com/G5BjKiOCjF,0,0,0
92,"#BriggsFire [update] off Shell Road and Orr Road, Santa Paula (Ventura County) per @VCFD is now 150 acres & 90% contained. https://twitter.com/VCFD_PIO pic.twitter.com/cZXzVc20hB",0,0,0
93,#WoolseyFire [update] Current situation in Malibu.pic.twitter.com/8pPG28QyZb,0,0,0
94,Some evacuation orders reduced and warnings lifted in #CampFire area.https://twitter.com/CALFIRE_ButteCo/status/1063202953949892610 …,0,0,0
95,#CampFire [update] Utility companies working to restore essential services. Please read below.pic.twitter.com/XRRJ3hYjVc,0,0,0
96,#WoolseyFire [update] Repopulation for areas of Los Angeles Countypic.twitter.com/1X85Yy1cI6,0,0,0
97,"#MorganFire [update] off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County) is now 20 acres & 25% contained. Forward spread stopped.pic.twitter.com/sla4jQ3cXB",0,0,0
98,"Firefighters are battling a 20 acre fire off Morgan Territory Rd & Storybook Ln, east of San Ramon (Contra Costa County). #MorganFirepic.twitter.com/2aR3HOdRBk",0,0,1
99,#CampFire [update] The Butte County Public Health Department has been using public health measures to stop a gastrointestinal illness (GI) outbreak in all monitored shelters. Please see below for more information on preventing the spread of the illness.https://twitter.com/CountyofButte/status/1063173038571569152 …,0,0,0
100,#CampFire [update] Press conference at 6:00 pmhttps://twitter.com/CALFIRE_ButteCo/status/1063160509657100288 …,0,0,0
101,"Firefighters are battling a 75 acre fire off Shell Road and Orr Road, Santa Paula (Ventura County). #BriggsFire https://twitter.com/VCFD_PIO pic.twitter.com/2bY5Y0mBzH",0,0,1
102,#WoolseyFire [update] Repopulation of Lake Sherwood and Hidden Valleypic.twitter.com/o4FkMGYNAn,0,0,0
103,"With these current extreme fire conditions throughout the state, don’t wait to #evacuate! You should already be PREPARED and GO! early. If you see fire approaching, don’t wait to be told to leave. http://www.ReadyForWildfire.org #ReadyForWildfirepic.twitter.com/PjGCqSWwbT",0,0,2
104,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 140,000 acres and 40% contained. Evacuations in place. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/tJ6HSSro5J",0,0,2
105,"#HillFire [update] at Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley (Ventura County) is now 4,531 acres and 97% contained. Unified Command: CAL FIRE, @VCFD, and @VENTURASHERIFF http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2281 …pic.twitter.com/hNJvmpP2Qp",0,0,2
106,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 57% contained. Unified Command: CAL FIRE, @VCFD, @VENTURASHERIFF, @LACOFD, @LAFD, @LASDHQ, and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/pRCJqfYuXD",0,0,2
107,"#NilesFire [update] off Palomares Road & Niles Canyon Road, northwest of Sunol (Alameda County) is now 20 acres & 60% contained.pic.twitter.com/KFgjARkc5S",0,0,0
108,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 138,000 acres and 35% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/9OA5ib2oOc",0,0,2
109,"Today at the #CampFire Incident base in Butte County, fire officials had a visit from @JerryBrownGov along with state, local and elected officials.pic.twitter.com/LWaaaSzWDj",0,0,1
110,"#HillFire [update] Santa Rosa Valley (Ventura County) is now 4,531 acres and 96% contained. Unified Command: CAL FIRE, @VCFD, and @VENTURASHERIFF http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2281 …pic.twitter.com/AB2AA9gcNj",0,0,2
111,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 98,362 acres and 52% contained. Unified Command: CAL FIRE, @VCFD, @VENTURASHERIFF, @LACOFD, @LAFD, @LASDHQ, and @LAPDHQ http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/GtBuSkS70u",0,0,2
112,"#NilesFire [update] off Palomares Road Niles Canyon Road, northwest of Sunol (Alameda County) is now 20 acres & 30% contained. Forward spread stopped. http://www.fire.ca.gov/current_incidents …pic.twitter.com/qGdGZQlshN",0,0,1
113,"Firefighters are battling a 20 acre fire off Palomares Road Niles Canyon Road, northwest of Sunol (Alameda County). #NilesFire http://www.fire.ca.gov/current_incidents …pic.twitter.com/jV35ETsSi6",0,0,2
114,#WoolseyFire [update] Repopulation for certain areas within Los Angeles Countypic.twitter.com/TCqfDa7fMP,0,0,0
115,"For more tips on charity scams, visithttps://oag.ca.gov/charities",0,0,0
116,"Our firefighters are well taken care of, but many displaced residents are in need. Visit http://californiavolunteers.ca.gov for resources to help & volunteer. Also note that during times of crisis, CAL FIRE will never solicit donations from the public.pic.twitter.com/pKJ93LLtRN",0,0,1
117,#SierraFire [update] off Sierra Ave and Riverside Ave (San Bernardino County) is now 147 acres & 85% contained. Unified Command: @CALFIREBDU and @RialtoFireDept. https://twitter.com/SBCOUNTYFIRE pic.twitter.com/jgPFFpOkvP,0,0,0
118,#WoolseyFire [update] Los Angeles County repopulation of areas in Malibupic.twitter.com/XRcN06fN4s,0,0,0
119,The Butte County Agriculture Department with the @ButteSheriff has created a letter to allow livestock owners access through traffic control points to restricted and evacuated areas due to the #CampFire. Letters may only be obtained through the Butte County Agriculture Departmentpic.twitter.com/ZjCq40XEZn,0,0,0
120,"#CampFire Press Conference to be held today 11∙14∙18 at 6:00 PM in the Harvest Hall of the Silver Dollar Fairgrounds, 2357 Fair Street, Chico, CA 95928.pic.twitter.com/TclPCBbNTh",0,0,0
121,#WoolseyFire [update] Repopulation of homes North of Lake Sherwoodpic.twitter.com/H8oN3Numn0,0,0,0
122,"#WoolseyFire [update] Today at 6:30 p.m., the County of Ventura in partnership with the City of Thousand Oaks will host an informational Town Hall for residents of Thousand Oaks and Oak Park who have properties impacted by the recent firespic.twitter.com/zKSZxeoLUo",0,0,0
123,Los Angeles County Sheriff's Department announces repopulation of areas impacted by #WoolseyFire. 11∙14∙18https://twitter.com/CALFIRE_SLO/status/1062771967449718784 …,0,0,0
124,"For those of you in areas affected by the #CampFire and #WoolseyFire, please use the information on the attached graphic to stay informed throughout these fires.pic.twitter.com/8rpngYlCIp",0,0,0
